fips2010,rent50_0,rent50_1,rent50_2,rent50_3,rent50_4,cntyname,pop2010,hu2010,state_alpha
0100199999,631,742,890,1133,1558,Autauga County,54571,22135,AL
0100399999,786,809,929,1351,1578,Baldwin County,182265,104061,AL
0100599999,527,531,706,885,998,Barbour County,27457,11829,AL
0100799999,749,832,955,1273,1424,Bibb County,22915,8981,AL
0100999999,749,832,955,1273,1424,Blount County,57322,23887,AL
0101199999,512,513,643,873,876,Bullock County,10914,4493,AL
0101399999,478,481,640,855,905,Butler County,20947,9964,AL
0101599999,507,542,721,942,1099,Calhoun County,118572,53289,AL
0101799999,486,615,738,925,1005,Chambers County,34215,17004,AL
0101999999,512,516,686,966,970,Cherokee County,25989,16267,AL
0102199999,564,615,706,1027,1243,Chilton County,43643,19278,AL
0102399999,541,545,725,909,1025,Choctaw County,13859,7269,AL
0102599999,483,528,606,881,978,Clarke County,25833,12638,AL
0102799999,513,528,606,881,1067,Clay County,13932,6776,AL
0102999999,516,520,691,866,1136,Cleburne County,14972,6718,AL
0103199999,581,583,686,998,1208,Coffee County,49948,22330,AL
0103399999,561,564,713,945,1183,Colbert County,54428,25758,AL
0103599999,453,456,606,854,857,Conecuh County,13228,7093,AL
0103799999,541,541,679,915,960,Coosa County,11539,6478,AL
0103999999,474,477,634,838,1117,Covington County,37765,18829,AL
0104199999,456,459,606,773,971,Crenshaw County,13906,6735,AL
0104399999,513,544,674,890,918,Cullman County,80406,37054,AL
0104599999,427,516,652,892,1148,Dale County,50251,22677,AL
0104799999,474,517,606,813,933,Dallas County,43820,20208,AL
0104999999,453,456,606,780,825,DeKalb County,71109,31109,AL
0105199999,631,742,890,1133,1558,Elmore County,79303,32657,AL
0105399999,527,542,623,819,849,Escambia County,38319,16486,AL
0105599999,530,533,709,889,1042,Etowah County,104430,47454,AL
0105799999,483,528,606,851,857,Fayette County,17241,8437,AL
0105999999,490,526,615,771,869,Franklin County,31704,14022,AL
0106199999,572,576,748,1005,1173,Geneva County,26790,12687,AL
0106399999,483,483,606,854,857,Greene County,9045,5007,AL
0106599999,640,704,859,1103,1170,Hale County,15760,7655,AL
0106799999,570,586,673,844,1185,Henry County,17302,8891,AL
0106999999,572,576,748,1005,1173,Houston County,101547,45319,AL
0107199999,418,542,655,821,892,Jackson County,53227,24786,AL
0107399999,749,832,955,1273,1424,Jefferson County,658466,300552,AL
0107599999,483,523,606,854,857,Lamar County,14564,7354,AL
0107799999,561,564,713,945,1183,Lauderdale County,92709,43791,AL
0107999999,465,549,703,917,974,Lawrence County,34339,15229,AL
0108199999,598,680,889,1190,1439,Lee County,140247,62391,AL
0108399999,558,646,768,1034,1353,Limestone County,82782,34977,AL
0108599999,631,742,890,1133,1558,Lowndes County,11299,5140,AL
0108799999,474,477,634,911,1059,Macon County,21452,10259,AL
