geo_name,geo_sumlevel,geo_id,median_property_value_2013,median_property_value_2014,median_property_value_2015,median_property_value_2016
"Autauga County, AL","county",05000US01001,136200,136600,141300,141000
"Baldwin County, AL","county",05000US01003,168600,168800,169300,173400
"Barbour County, AL","county",05000US01005,89200,89500,92200,90300
"Bibb County, AL","county",05000US01007,90500,96300,102700,97200
"Blount County, AL","county",05000US01009,117100,117700,119800,124200
"Bullock County, AL","county",05000US01011,70600,68900,68600,68000
"Butler County, AL","county",05000US01013,74700,76000,78900,83000
"Calhoun County, AL","county",05000US01015,100600,103300,105900,107900
"Chambers County, AL","county",05000US01017,81200,82400,80800,83000
"Cherokee County, AL","county",05000US01019,99400,98500,105100,112500
"Chilton County, AL","county",05000US01021,102600,98800,100100,99100
"Choctaw County, AL","county",05000US01023,58200,59100,61100,64600
"Clarke County, AL","county",05000US01025,85600,84700,86900,85900
"Clay County, AL","county",05000US01027,79900,82200,84100,90000
"Cleburne County, AL","county",05000US01029,100800,101000,108000,108100
"Coffee County, AL","county",05000US01031,131000,137000,142400,142800
"Colbert County, AL","county",05000US01033,99300,99900,99400,102500
"Conecuh County, AL","county",05000US01035,69600,65800,70100,72300
"Coosa County, AL","county",05000US01037,75100,73100,78300,76500
"Covington County, AL","county",05000US01039,88800,90600,93600,93700
"Crenshaw County, AL","county",05000US01041,70800,68100,70600,77600
"Cullman County, AL","county",05000US01043,106100,107000,115200,118700
"Dale County, AL","county",05000US01045,99400,103300,101700,103800
"Dallas County, AL","county",05000US01047,75700,79200,81500,81000
"DeKalb County, AL","county",05000US01049,93400,95300,98500,99600
"Elmore County, AL","county",05000US01051,144600,143800,147500,152500
"Escambia County, AL","county",05000US01053,84100,88000,93800,93900
"Etowah County, AL","county",05000US01055,100000,100400,100400,101900
"Fayette County, AL","county",05000US01057,71400,72700,75200,76400
"Franklin County, AL","county",05000US01059,82300,86300,85600,87000
"Geneva County, AL","county",05000US01061,78100,78100,77400,81500
"Greene County, AL","county",05000US01063,72700,69100,69600,68100
"Hale County, AL","county",05000US01065,79900,86800,87400,89400
"Henry County, AL","county",05000US01067,97000,93900,96300,101800
"Houston County, AL","county",05000US01069,122300,121600,123300,124800
"Jackson County, AL","county",05000US01071,93400,93800,98900,103800
"Jefferson County, AL","county",05000US01073,140800,141300,143400,145700
"Lamar County, AL","county",05000US01075,66800,66800,67900,71100
"Lauderdale County, AL","county",05000US01077,114300,115300,118600,124100
"Lawrence County, AL","county",05000US01079,94200,92400,94800,97600
"Lee County, AL","county",05000US01081,146900,150100,154300,156400
"Limestone County, AL","county",05000US01083,134500,138100,142100,142500
"Lowndes County, AL","county",05000US01085,71400,69100,67800,68900
"Macon County, AL","county",05000US01087,75700,73400,74700,77000
"Madison County, AL","county",05000US01089,164500,166500,167900,171200
"Marengo County, AL","county",05000US01091,89600,89600,90800,87900
"Marion County, AL","county",05000US01093,78700,77700,81400,85500
"Marshall County, AL","county",05000US01095,114000,114600,115500,115700
"Mobile County, AL","county",05000US01097,124300,124500,122400,123500
"Monroe County, AL","county",05000US01099,76900,78800,81200,87700
"Montgomery County, AL","county",05000US01101,122900,123100,122300,122000
"Morgan County, AL","county",05000US01103,120500,121900,123500,124900
"Perry County, AL","county",05000US01105,58000,61700,66300,73700
"Pickens County, AL","county",05000US01107,81900,85600,82000,89100
"Pike County, AL","county",05000US01109,101000,101900,105500,102300
"Randolph County, AL","county",05000US01111,88600,89700,85800,85600
