FIPS formula,County Name,State Abbr,Jan,July
10001,Kent,DE,33.92,76.97
10003,New Castle,DE,32.38,76.05
10005,Sussex,DE,35.23,77.27
1001,Autauga,AL,43.9,80.03
1003,Baldwin,AL,49.5,81.27
1005,Barbour,AL,47.23,81.03
1007,Bibb,AL,42.8,79.72
1009,Blount,AL,41.9,79.3
1011,Bullock,AL,46.5,80.95
1013,Butler,AL,46.5,80.95
1015,Calhoun,AL,42.8,79.2
1017,Chambers,AL,43.65,79.25
1019,Cherokee,AL,41.62,78.82
1021,Chilton,AL,42.8,79.47
1023,Choctaw,AL,46.57,80.9
1025,Clarke,AL,47.73,81.13
1027,Clay,AL,42.8,79.2
1029,Cleburne,AL,42.42,79.03
1031,Coffee,AL,47.5,80.9
1033,Colbert,AL,39.8,78.7
1035,Conecuh,AL,47.5,80.9
1037,Coosa,AL,42.8,79.47
1039,Covington,AL,49.15,81.15
1041,Crenshaw,AL,46.5,80.95
1043,Cullman,AL,41.1,79.1
1045,Dale,AL,47.5,80.9
1047,Dallas,AL,45.27,80.63
1049,DeKalb,AL,41.03,78.73
1051,Elmore,AL,43.9,80.03
1053,Escambia,AL,48.85,81.2
1055,Etowah,AL,41.45,78.95
1057,Fayette,AL,42.8,80
1059,Franklin,AL,39.8,78.7
1061,Geneva,AL,47.5,80.9
1063,Greene,AL,44.15,80.5
1065,Hale,AL,44.15,80.5
1067,Henry,AL,48.1,81.05
1069,Houston,AL,48.1,81.05
1071,Jackson,AL,39.17,77.7
1073,Jefferson,AL,41.9,79.3
1075,Lamar,AL,42.95,80.25
1077,Lauderdale,AL,38.6,78.35
1079,Lawrence,AL,39.8,78.7
1081,Lee,AL,45.08,80.1
1083,Limestone,AL,38.6,78.35
1085,Lowndes,AL,45.27,80.63
1087,Macon,AL,45.47,80.33
1089,Madison,AL,38.48,77.62
1091,Marengo,AL,46.5,80.95
1093,Marion,AL,41.3,79.35
1095,Marshall,AL,40.9,78.87
1097,Mobile,AL,48.53,81.1
1099,Monroe,AL,48.85,81.2
11001,District of Columbia,DC,33.5,76.3
1101,Montgomery,AL,43.9,80.03
1103,Morgan,AL,40.25,78.65
1105,Perry,AL,44.15,80.5
1107,Pickens,AL,43.8,80.5
1109,Pike,AL,46.5,80.95
1111,Randolph,AL,43.65,79.25
1113,Russell,AL,45.8,80.32
1115,St. Clair,AL,41.45,78.95
1117,Shelby,AL,42.27,79.25
1119,Sumter,AL,45.1,80.77
1121,Talladega,AL,42.8,79.2
1123,Tallapoosa,AL,44.45,80.05
1125,Tuscaloosa,AL,41.75,79.3
1127,Walker,AL,41.75,79.3
1129,Washington,AL,48.13,81.07
1131,Wilcox,AL,46.5,80.95
1133,Winston,AL,41.1,79.1
12001,Alachua,FL,55.75,81.7
12003,Baker,FL,51.85,81.75
12005,Bay,FL,50.8,81.4
12007,Bradford,FL,53.5,81.5
12009,Brevard,FL,59.4,81.95
12011,Broward,FL,65.15,82.6
12013,Calhoun,FL,50.8,81.4
12015,Charlotte,FL,62.6,82.35
12017,Citrus,FL,55.75,81.7
12019,Clay,FL,53.5,81.5
12021,Collier,FL,64.4,82.7
12023,Columbia,FL,53.5,81.5
12027,DeSoto,FL,62.6,82.35
12029,Dixie,FL,53.5,81.5
12031,Duval,FL,53.5,81.5
12033,Escambia,FL,49.5,81.27
12035,Flagler,FL,55.75,81.7
12037,Franklin,FL,50.8,81.4
12039,Gadsden,FL,49.75,81.3
12041,Gilchrist,FL,53.5,81.5
12043,Glades,FL,62.6,82.35
12045,Gulf,FL,50.8,81.4
12047,Hamilton,FL,51.3,81.4
12049,Hardee,FL,60.8,82
12051,Hendry,FL,64.4,82.7
12053,Hernando,FL,58,81.9
12055,Highlands,FL,62.6,82.35
12057,Hillsborough,FL,59.4,81.95
12059,Holmes,FL,49.15,81.15
12061,Indian River,FL,60.8,82
12063,Jackson,FL,49,81.17
12065,Jefferson,FL,50.52,81.35
12067,Lafayette,FL,53.5,81.5
12069,Lake,FL,59.4,81.95
12071,Lee,FL,64.4,82.7
12073,Leon,FL,49.75,81.3
12075,Levy,FL,55.75,81.7
12077,Liberty,FL,50.8,81.4
12079,Madison,FL,51.13,81.4
12081,Manatee,FL,60.8,82
12083,Marion,FL,55.75,81.7
12085,Martin,FL,63.7,82.4
12086,Miami-Dade,FL,66.2,82.97
12087,Monroe,FL,66.2,82.97
12089,Nassau,FL,51.85,81.75
12091,Okaloosa,FL,49.15,81.15
12093,Okeechobee,FL,62.6,82.35
12095,Orange,FL,59.4,81.95
12097,Osceola,FL,60.8,82
12099,Palm Beach,FL,65.15,82.6
12101,Pasco,FL,59.4,81.95
12103,Pinellas,FL,59.4,81.95
12105,Polk,FL,59.4,81.95
12107,Putnam,FL,55.75,81.7
12109,St. Johns,FL,53.5,81.5
12111,St. Lucie,FL,63.7,82.4
12113,Santa Rosa,FL,49.15,81.15
12115,Sarasota,FL,62.6,82.35
12117,Seminole,FL,58,81.9
12119,Sumter,FL,59.4,81.95
12121,Suwannee,FL,53.5,81.5
12123,Taylor,FL,52.15,81.45
12125,Union,FL,53.5,81.5
12127,Volusia,FL,55.75,81.7
12129,Wakulla,FL,50.8,81.4
12131,Walton,FL,49.15,81.15
12133,Washington,FL,50.8,81.4
13001,Appling,GA,49.65,81.65
13003,Atkinson,GA,49.65,81.65
13005,Bacon,GA,49.65,81.65
13007,Baker,GA,48.7,81.2
13009,Baldwin,GA,45.4,80.9
13011,Banks,GA,40.9,77.65
13013,Barrow,GA,40.2,76.9
13015,Bartow,GA,40.2,77.6
13017,Ben Hill,GA,49.1,81.3
13019,Berrien,GA,49.1,81.3
13021,Bibb,GA,45.4,80.9
13023,Bleckley,GA,45.4,80.9
13025,Brantley,GA,50.2,82
13027,Brooks,GA,51.3,81.4
13029,Bryan,GA,48.35,81.6
13031,Bulloch,GA,48.35,81.6
13033,Burke,GA,45.8,81.17
13035,Butts,GA,44.65,80.15
13037,Calhoun,GA,48.7,81.2
13039,Camden,GA,51.85,81.75
13043,Candler,GA,48.35,81.6
13045,Carroll,GA,41.92,78.42
13047,Catoosa,GA,38.4,77
13049,Charlton,GA,51.85,81.75
13051,Chatham,GA,48,81.57
13053,Chattahoochee,GA,46.7,80.5
13055,Chattooga,GA,40.2,78.3
13057,Cherokee,GA,40.2,77.6
13059,Clarke,GA,40.9,77.65
13061,Clay,GA,48.1,81.05
13063,Clayton,GA,42.05,78.15
13065,Clinch,GA,50.93,81.6
13067,Cobb,GA,40.2,77.6
13069,Coffee,GA,49.65,81.65
13071,Colquitt,GA,48.9,81.25
13073,Columbia,GA,43.9,80.13
13075,Cook,GA,49.1,81.3
13077,Coweta,GA,42.05,78.15
13079,Crawford,GA,44.65,80.15
13081,Crisp,GA,48.9,81.25
13083,Dade,GA,38.38,76.95
13085,Dawson,GA,40.2,76.9
13087,Decatur,GA,49.75,81.3
13089,DeKalb,GA,43.17,79.07
13091,Dodge,GA,47.25,81.1
13093,Dooly,GA,46.77,80.7
13095,Dougherty,GA,48.9,81.25
13097,Douglas,GA,41.43,78.2
13099,Early,GA,48.1,81.05
13101,Echols,GA,51.3,81.4
13103,Effingham,GA,48,81.57
13105,Elbert,GA,42.23,79.5
13107,Emanuel,GA,47.37,81.37
13109,Evans,GA,48.35,81.6
13111,Fannin,GA,37.43,74.77
13113,Fayette,GA,42.05,78.15
13115,Floyd,GA,40.2,78.3
13117,Forsyth,GA,40.2,76.9
13119,Franklin,GA,41.55,78.85
13121,Fulton,GA,42.05,78.15
13123,Gilmer,GA,40.2,77.6
13125,Glascock,GA,45.95,81.05
13127,Glynn,GA,50.2,82
13129,Gordon,GA,40.2,77.6
13131,Grady,GA,48.7,81.2
13133,Greene,GA,42.4,78.73
13135,Gwinnett,GA,42.8,78.9
13137,Habersham,GA,40.57,77.23
13139,Hall,GA,40.9,77.65
13141,Hancock,GA,45.95,81.05
13143,Haralson,GA,42.05,78.85
13145,Harris,GA,43.65,79.25
13147,Hart,GA,41.55,78.85
13149,Heard,GA,43.65,79.25
13151,Henry,GA,43.17,79.07
13153,Houston,GA,46.13,80.53
13155,Irwin,GA,49.1,81.3
13157,Jackson,GA,40.9,77.65
13159,Jasper,GA,45.4,80.9
13161,Jeff Davis,GA,48.23,81.4
13163,Jefferson,GA,45.95,81.05
13165,Jenkins,GA,46.5,81.2
13167,Johnson,GA,45.95,81.05
13169,Jones,GA,45.4,80.9
13171,Lamar,GA,44.65,80.15
13173,Lanier,GA,49.1,81.3
13175,Laurens,GA,45.4,80.9
13177,Lee,GA,48.9,81.25
13179,Liberty,GA,50.2,82
13181,Lincoln,GA,43.9,80.13
13183,Long,GA,50.2,82
13185,Lowndes,GA,51.3,81.4
13187,Lumpkin,GA,40.2,76.9
13189,McDuffie,GA,44.05,79.8
13191,McIntosh,GA,50.2,82
