state,areaName,countyName,medianProperty,costOfLiving,medianHHIncome,rent1Bed,rent4bed,costOfGroceries,population,hu2010,geoID,fips2010,fipsTxt
AL,"Autauga County, AL",Autauga County,141000,90.3,54487,742,1558,97.4,54571,22135,05000US01001,100199999,01001
AL,"Baldwin County, AL",Baldwin County,173400,90.3,56460,809,1578,97.4,182265,104061,05000US01003,100399999,01003
AL,"Barbour County, AL",Barbour County,90300,90.3,32884,531,998,97.4,27457,11829,05000US01005,100599999,01005
AL,"Bibb County, AL",Bibb County,97200,90.3,43079,832,1424,97.4,22915,8981,05000US01007,100799999,01007
AL,"Blount County, AL",Blount County,124200,90.3,47213,832,1424,97.4,57322,23887,05000US01009,100999999,01009
AL,"Bullock County, AL",Bullock County,68000,90.3,34278,513,876,97.4,10914,4493,05000US01011,101199999,01011
AL,"Butler County, AL",Butler County,83000,90.3,35409,481,905,97.4,20947,9964,05000US01013,101399999,01013
AL,"Calhoun County, AL",Calhoun County,107900,90.3,41778,542,1099,97.4,118572,53289,05000US01015,101599999,01015
AL,"Chambers County, AL",Chambers County,83000,90.3,39530,615,1005,97.4,34215,17004,05000US01017,101799999,01017
AL,"Cherokee County, AL",Cherokee County,112500,90.3,41456,516,970,97.4,25989,16267,05000US01019,101999999,01019
AL,"Chilton County, AL",Chilton County,99100,90.3,44188,615,1243,97.4,43643,19278,05000US01021,102199999,01021
AL,"Choctaw County, AL",Choctaw County,64600,90.3,32691,545,1025,97.4,13859,7269,05000US01023,102399999,01023
AL,"Clarke County, AL",Clarke County,85900,90.3,34061,528,978,97.4,25833,12638,05000US01025,102599999,01025
AL,"Clay County, AL",Clay County,90000,90.3,38512,528,1067,97.4,13932,6776,05000US01027,102799999,01027
AL,"Cleburne County, AL",Cleburne County,108100,90.3,43483,520,1136,97.4,14972,6718,05000US01029,102999999,01029
AL,"Coffee County, AL",Coffee County,142800,90.3,48632,583,1208,97.4,49948,22330,05000US01031,103199999,01031
AL,"Colbert County, AL",Colbert County,102500,90.3,46572,564,1183,97.4,54428,25758,05000US01033,103399999,01033
AL,"Conecuh County, AL",Conecuh County,72300,90.3,29758,456,857,97.4,13228,7093,05000US01035,103599999,01035
AL,"Coosa County, AL",Coosa County,76500,90.3,36441,541,960,97.4,11539,6478,05000US01037,103799999,01037
AL,"Covington County, AL",Covington County,93700,90.3,35010,477,1117,97.4,37765,18829,05000US01039,103999999,01039
