FIPStxt,State,Area_name,Median_Household_Income_2016
01000,AL,Alabama,46,309
01001,AL,Autauga County, AL,54,487
01003,AL,Baldwin County, AL,56,460
01005,AL,Barbour County, AL,32,884
01007,AL,Bibb County, AL,43,079
01009,AL,Blount County, AL,47,213
01011,AL,Bullock County, AL,34,278
01013,AL,Butler County, AL,35,409
01015,AL,Calhoun County, AL,41,778
01017,AL,Chambers County, AL,39,530
01019,AL,Cherokee County, AL,41,456
01021,AL,Chilton County, AL,44,188
01023,AL,Choctaw County, AL,32,691
01025,AL,Clarke County, AL,34,061
01027,AL,Clay County, AL,38,512
01029,AL,Cleburne County, AL,43,483
01031,AL,Coffee County, AL,48,632
01033,AL,Colbert County, AL,46,572
01035,AL,Conecuh County, AL,29,758
01037,AL,Coosa County, AL,36,441
01039,AL,Covington County, AL,35,010
01041,AL,Crenshaw County, AL,37,374
01043,AL,Cullman County, AL,41,543
01045,AL,Dale County, AL,40,523
01047,AL,Dallas County, AL,30,488
01049,AL,DeKalb County, AL,37,128
01051,AL,Elmore County, AL,54,553
01053,AL,Escambia County, AL,35,096
01055,AL,Etowah County, AL,40,972
01057,AL,Fayette County, AL,38,403
01059,AL,Franklin County, AL,37,049
01061,AL,Geneva County, AL,36,976
01063,AL,Greene County, AL,26,559
01065,AL,Hale County, AL,35,381
01067,AL,Henry County, AL,41,426
01069,AL,Houston County, AL,42,910
01071,AL,Jackson County, AL,41,407
01073,AL,Jefferson County, AL,50,109
01075,AL,Lamar County, AL,38,358
01077,AL,Lauderdale County, AL,44,124
01079,AL,Lawrence County, AL,43,107
01081,AL,Lee County, AL,47,749
01083,AL,Limestone County, AL,52,181
01085,AL,Lowndes County, AL,32,011
01087,AL,Macon County, AL,30,681
01089,AL,Madison County, AL,61,193
01091,AL,Marengo County, AL,34,794
01093,AL,Marion County, AL,36,386
01095,AL,Marshall County, AL,42,117
01097,AL,Mobile County, AL,45,233
01099,AL,Monroe County, AL,36,639
01101,AL,Montgomery County, AL,45,111
01103,AL,Morgan County, AL,46,843
01105,AL,Perry County, AL,25,221
01107,AL,Pickens County, AL,35,968
01109,AL,Pike County, AL,35,172
01111,AL,Randolph County, AL,40,283
01113,AL,Russell County, AL,38,617
01115,AL,St. Clair County, AL,57,856
01117,AL,Shelby County, AL,74,212
01119,AL,Sumter County, AL,26,814
01121,AL,Talladega County, AL,40,555
01123,AL,Tallapoosa County, AL,40,169
